,index,name of standard cell,number of fanout
194,1921,sky130_fd_sc_hd__dfrtp_2 U506,7
195,1922,sky130_fd_sc_hd__dfrtp_2 U507,7
196,1923,sky130_fd_sc_hd__dfrtp_2 U508,8
197,1924,sky130_fd_sc_hd__dfrtp_2 U509,8
198,1926,sky130_fd_sc_hd__dfrtp_2 U510,8
199,1927,sky130_fd_sc_hd__dfrtp_2 U511,65
200,1928,sky130_fd_sc_hd__dfrtp_2 U512,14
201,1929,sky130_fd_sc_hd__dfrtp_2 U513,2
202,1930,sky130_fd_sc_hd__dfrtp_2 U514,14
203,1931,sky130_fd_sc_hd__dfstp_2 U515,6
204,1932,sky130_fd_sc_hd__dfstp_2 U516,7
205,1933,sky130_fd_sc_hd__dfstp_2 U517,7
206,1934,sky130_fd_sc_hd__dfstp_2 U518,7
207,1935,sky130_fd_sc_hd__dfstp_2 U519,7
208,1937,sky130_fd_sc_hd__dfstp_2 U520,7
209,1938,sky130_fd_sc_hd__dfstp_2 U521,7
210,1939,sky130_fd_sc_hd__dfstp_2 U522,5
211,1940,sky130_fd_sc_hd__dfstp_2 U523,3
212,1941,sky130_fd_sc_hd__dfstp_2 U524,3
213,1942,sky130_fd_sc_hd__dfstp_2 U525,3
214,1943,sky130_fd_sc_hd__dfstp_2 U526,3
215,1944,sky130_fd_sc_hd__dfstp_2 U527,3
216,1945,sky130_fd_sc_hd__dfstp_2 U528,3
217,1946,sky130_fd_sc_hd__dfstp_2 U529,3
218,1948,sky130_fd_sc_hd__dfstp_2 U530,3
219,1949,sky130_fd_sc_hd__dfrtp_2 U531,165
220,1950,sky130_fd_sc_hd__dfrtp_2 U532,21
221,1951,sky130_fd_sc_hd__dfrtp_2 U533,3
222,1952,sky130_fd_sc_hd__dfrtp_2 U534,3
223,1953,sky130_fd_sc_hd__dfrtp_2 U535,3
224,1954,sky130_fd_sc_hd__dfrtp_2 U536,3
225,1955,sky130_fd_sc_hd__dfrtp_2 U537,3
226,1956,sky130_fd_sc_hd__dfrtp_2 U538,3
227,1957,sky130_fd_sc_hd__dfrtp_2 U539,3
228,1959,sky130_fd_sc_hd__dfrtp_2 U540,1
229,1960,sky130_fd_sc_hd__dfrtp_2 U541,22
230,1961,sky130_fd_sc_hd__dfrtp_2 U542,22
231,1962,sky130_fd_sc_hd__dfrtp_2 U543,22
232,1963,sky130_fd_sc_hd__dfrtp_2 U544,22
233,1964,sky130_fd_sc_hd__dfrtp_2 U545,22
234,1965,sky130_fd_sc_hd__dfrtp_2 U546,22
235,1966,sky130_fd_sc_hd__dfrtp_2 U547,22
236,1967,sky130_fd_sc_hd__dfrtp_2 U548,22
237,1968,sky130_fd_sc_hd__dfrtp_2 U549,4
238,1970,sky130_fd_sc_hd__dfrtp_2 U550,3
239,1971,sky130_fd_sc_hd__dfrtp_2 U551,3
240,1972,sky130_fd_sc_hd__dfrtp_2 U552,3
241,1973,sky130_fd_sc_hd__dfrtp_2 U553,13
242,1974,sky130_fd_sc_hd__dfrtp_2 U554,1
243,1975,sky130_fd_sc_hd__dfrtp_2 U555,1
244,1976,sky130_fd_sc_hd__dfrtp_2 U556,1
245,1977,sky130_fd_sc_hd__dfrtp_2 U557,1
246,1978,sky130_fd_sc_hd__dfrtp_2 U558,1
247,1979,sky130_fd_sc_hd__dfrtp_2 U559,1
