,index,name of standard cell,number of fanout
178,8128,sky130_fd_sc_hd__dfxtp_2 U7946,3
179,8129,sky130_fd_sc_hd__dfxtp_2 U7947,3
180,8130,sky130_fd_sc_hd__dfxtp_2 U7948,3
181,8131,sky130_fd_sc_hd__dfxtp_2 U7949,3
182,8133,sky130_fd_sc_hd__dfxtp_2 U7950,3
183,8134,sky130_fd_sc_hd__dfxtp_2 U7951,3
184,8135,sky130_fd_sc_hd__dfxtp_2 U7952,3
185,8136,sky130_fd_sc_hd__dfxtp_2 U7953,3
186,8137,sky130_fd_sc_hd__dfxtp_2 U7954,3
187,8138,sky130_fd_sc_hd__dfxtp_2 U7955,3
188,8139,sky130_fd_sc_hd__dfxtp_2 U7956,3
189,8140,sky130_fd_sc_hd__dfxtp_2 U7957,3
190,8141,sky130_fd_sc_hd__dfxtp_2 U7958,3
191,8142,sky130_fd_sc_hd__dfxtp_2 U7959,3
192,8144,sky130_fd_sc_hd__dfxtp_2 U7960,3
193,8145,sky130_fd_sc_hd__dfxtp_2 U7961,3
194,8146,sky130_fd_sc_hd__dfxtp_2 U7962,3
195,8147,sky130_fd_sc_hd__dfxtp_2 U7963,3
196,8148,sky130_fd_sc_hd__dfxtp_2 U7964,3
197,8149,sky130_fd_sc_hd__dfxtp_2 U7965,3
198,8150,sky130_fd_sc_hd__dfxtp_2 U7966,3
199,8151,sky130_fd_sc_hd__dfxtp_2 U7967,4
200,8152,sky130_fd_sc_hd__dfxtp_2 U7968,4
201,8153,sky130_fd_sc_hd__dfxtp_2 U7969,4
202,8155,sky130_fd_sc_hd__dfxtp_2 U7970,4
203,8156,sky130_fd_sc_hd__dfxtp_2 U7971,4
204,8157,sky130_fd_sc_hd__dfxtp_2 U7972,3
205,8158,sky130_fd_sc_hd__dfxtp_2 U7973,3
206,8159,sky130_fd_sc_hd__dfxtp_2 U7974,3
207,8160,sky130_fd_sc_hd__dfxtp_2 U7975,3
208,8161,sky130_fd_sc_hd__dfxtp_2 U7976,3
209,8162,sky130_fd_sc_hd__dfxtp_2 U7977,3
210,8163,sky130_fd_sc_hd__dfxtp_2 U7978,3
211,8164,sky130_fd_sc_hd__dfxtp_2 U7979,3
212,8166,sky130_fd_sc_hd__dfxtp_2 U7980,3
213,8167,sky130_fd_sc_hd__dfxtp_2 U7981,3
214,8168,sky130_fd_sc_hd__dfxtp_2 U7982,3
215,8169,sky130_fd_sc_hd__dfxtp_2 U7983,3
